Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 116,current eyeGaze_left: Position (0.001522962, 1.079326, -0.05215471), Orientation(0.2091469, 0.001229974, -0.009013566, 0.977842), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 130,current eyeGaze_left: Position (0.001522962, 1.079326, -0.05215471), Orientation(0.2091469, 0.001229974, -0.009013566, 0.977842), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 144,current eyeGaze_left: Position (0.001522962, 1.079326, -0.05215471), Orientation(0.2091469, 0.001229974, -0.009013566, 0.977842), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 158,current eyeGaze_left: Position (0.001211897, 1.079523, -0.05152603), Orientation(0.206777, -0.0005226531, -0.00814293, 0.978354), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 171,current eyeGaze_left: Position (0.001211897, 1.079523, -0.05152603), Orientation(0.206777, -0.0005226531, -0.00814293, 0.978354), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 186,current eyeGaze_left: Position (0.0009533986, 1.079665, -0.05103746), Orientation(0.2075002, -8.332042E-05, -0.007515324, 0.9782061), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 199,current eyeGaze_left: Position (0.0009533986, 1.079665, -0.05103746), Orientation(0.2075002, -8.332042E-05, -0.007515324, 0.9782061), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 214,current eyeGaze_left: Position (0.0009533986, 1.079665, -0.05103746), Orientation(0.2075002, -8.332042E-05, -0.007515324, 0.9782061), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 227,current eyeGaze_left: Position (0.0005887263, 1.079944, -0.05074452), Orientation(0.2085512, 0.0003953132, -0.007445391, 0.977983), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 241,current eyeGaze_left: Position (0.0005887263, 1.079944, -0.05074452), Orientation(0.2085512, 0.0003953132, -0.007445391, 0.977983), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 255,current eyeGaze_left: Position (-1.597777E-05, 1.080119, -0.05047709), Orientation(0.1164496, 0.007804953, -0.004365697, 0.9931563), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 269,current eyeGaze_left: Position (-1.597777E-05, 1.080119, -0.05047709), Orientation(0.1164496, 0.007804953, -0.004365697, 0.9931563), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 283,current eyeGaze_left: Position (-0.0006324872, 1.080042, -0.05032263), Orientation(0.07631519, 0.009083419, -0.003061917, 0.9970377), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 297,current eyeGaze_left: Position (-0.0006324872, 1.080042, -0.05032263), Orientation(0.07631519, 0.009083419, -0.003061917, 0.9970377), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 311,current eyeGaze_left: Position (-0.0006324872, 1.080042, -0.05032263), Orientation(0.07631519, 0.009083419, -0.003061917, 0.9970377), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 325,current eyeGaze_left: Position (-0.001147892, 1.08015, -0.0504209), Orientation(0.07296918, 0.008944764, -0.002775585, 0.9972903), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 338,current eyeGaze_left: Position (-0.001147892, 1.08015, -0.0504209), Orientation(0.07296918, 0.008944764, -0.002775585, 0.9972903), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 353,current eyeGaze_left: Position (-0.001520216, 1.080225, -0.05068199), Orientation(0.07292896, 0.007800234, -0.002197116, 0.9973043), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 366,current eyeGaze_left: Position (-0.001520216, 1.080225, -0.05068199), Orientation(0.07292896, 0.007800234, -0.002197116, 0.9973043), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 381,current eyeGaze_left: Position (-0.001520216, 1.080225, -0.05068199), Orientation(0.07292896, 0.007800234, -0.002197116, 0.9973043), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 395,current eyeGaze_left: Position (-0.001822667, 1.0802, -0.05092521), Orientation(0.07444165, 0.007707112, -0.001492425, 0.9971944), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 408,current eyeGaze_left: Position (-0.001822667, 1.0802, -0.05092521), Orientation(0.07444165, 0.007707112, -0.001492425, 0.9971944), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 422,current eyeGaze_left: Position (-0.002053898, 1.080107, -0.05124497), Orientation(0.07583697, 0.007878704, -0.001265845, 0.9970883), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 436,current eyeGaze_left: Position (-0.002053898, 1.080107, -0.05124497), Orientation(0.07583697, 0.007878704, -0.001265845, 0.9970883), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 450,current eyeGaze_left: Position (-0.002145614, 1.079809, -0.05164001), Orientation(0.08637191, 0.01378826, -0.0005700776, 0.9961675), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 464,current eyeGaze_left: Position (-0.002145614, 1.079809, -0.05164001), Orientation(0.08637191, 0.01378826, -0.0005700776, 0.9961675), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 479,current eyeGaze_left: Position (-0.002145614, 1.079809, -0.05164001), Orientation(0.08637191, 0.01378826, -0.0005700776, 0.9961675), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 492,current eyeGaze_left: Position (-0.002157504, 1.079568, -0.05215033), Orientation(0.08643164, 0.01645148, -0.0008783497, 0.9961216), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 505,current eyeGaze_left: Position (-0.002157504, 1.079568, -0.05215033), Orientation(0.08643164, 0.01645148, -0.0008783497, 0.9961216), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 520,current eyeGaze_left: Position (-0.00220795, 1.07926, -0.05267961), Orientation(0.08727036, 0.01557036, -0.002240138, 0.9960605), Confidence: 0.5

