
Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 408,current eyeGaze_left: Position (0.0247636, 1.150488, 0.2119585), Orientation(0.1156821, -0.01407204, -0.03060464, 0.992715), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 423,current eyeGaze_left: Position (0.02479651, 1.150479, 0.2119802), Orientation(0.1164277, -0.01417399, -0.03064761, 0.992625), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 436,current eyeGaze_left: Position (0.02479651, 1.150479, 0.2119802), Orientation(0.1164277, -0.01417399, -0.03064761, 0.992625), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 451,current eyeGaze_left: Position (0.02479651, 1.150479, 0.2119802), Orientation(0.1164277, -0.01417399, -0.03064761, 0.992625), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 464,current eyeGaze_left: Position (0.02480917, 1.150507, 0.21202), Orientation(0.1165017, -0.01429231, -0.03061667, 0.9926158), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 478,current eyeGaze_left: Position (0.02480917, 1.150507, 0.21202), Orientation(0.1165017, -0.01429231, -0.03061667, 0.9926158), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 493,current eyeGaze_left: Position (0.02474048, 1.150601, 0.2120851), Orientation(0.1155064, -0.01411971, -0.03052963, 0.9927369), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 505,current eyeGaze_left: Position (0.02474048, 1.150601, 0.2120851), Orientation(0.1155064, -0.01411971, -0.03052963, 0.9927369), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 520,current eyeGaze_left: Position (0.02474048, 1.150601, 0.2120851), Orientation(0.1155064, -0.01411971, -0.03052963, 0.9927369), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 533,current eyeGaze_left: Position (0.02471373, 1.150661, 0.2121288), Orientation(0.1156597, -0.01408654, -0.03070061, 0.9927144), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 548,current eyeGaze_left: Position (0.02471373, 1.150661, 0.2121288), Orientation(0.1156597, -0.01408654, -0.03070061, 0.9927144), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 562,current eyeGaze_left: Position (0.02470514, 1.150701, 0.2121427), Orientation(0.1140208, -0.01502434, -0.03074915, 0.9928887), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 575,current eyeGaze_left: Position (0.02470514, 1.150701, 0.2121427), Orientation(0.1140208, -0.01502434, -0.03074915, 0.9928887), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 590,current eyeGaze_left: Position (0.02470514, 1.150701, 0.2121427), Orientation(0.1140208, -0.01502434, -0.03074915, 0.9928887), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 602,current eyeGaze_left: Position (0.02467956, 1.150673, 0.2120165), Orientation(0.1157656, -0.01490334, -0.03070821, 0.99269), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 618,current eyeGaze_left: Position (0.02467956, 1.150673, 0.2120165), Orientation(0.1157656, -0.01490334, -0.03070821, 0.99269), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 631,current eyeGaze_left: Position (0.024685, 1.150611, 0.2119813), Orientation(0.1136618, -0.01528617, -0.03064565, 0.9929291), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 645,current eyeGaze_left: Position (0.024685, 1.150611, 0.2119813), Orientation(0.1136618, -0.01528617, -0.03064565, 0.9929291), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 661,current eyeGaze_left: Position (0.0246765, 1.150526, 0.2119491), Orientation(0.1067907, -0.01489103, -0.03044647, 0.9937037), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 672,current eyeGaze_left: Position (0.0246765, 1.150526, 0.2119491), Orientation(0.1067907, -0.01489103, -0.03044647, 0.9937037), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 687,current eyeGaze_left: Position (0.0246765, 1.150526, 0.2119491), Orientation(0.1067907, -0.01489103, -0.03044647, 0.9937037), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 699,current eyeGaze_left: Position (0.02460236, 1.150512, 0.211915), Orientation(0.0795949, 0.01794093, -0.02532232, 0.9963441), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 715,current eyeGaze_left: Position (0.02460236, 1.150512, 0.211915), Orientation(0.0795949, 0.01794093, -0.02532232, 0.9963441), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 729,current eyeGaze_left: Position (0.02457343, 1.150538, 0.2118704), Orientation(0.05336253, 0.01876776, -0.02414668, 0.9981067), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 741,current eyeGaze_left: Position (0.02457343, 1.150538, 0.2118704), Orientation(0.05336253, 0.01876776, -0.02414668, 0.9981067), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 757,current eyeGaze_left: Position (0.02452815, 1.150638, 0.2118113), Orientation(0.0742038, 0.01025533, -0.02603794, 0.9968503), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 769,current eyeGaze_left: Position (0.02452815, 1.150638, 0.2118113), Orientation(0.0742038, 0.01025533, -0.02603794, 0.9968503), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 785,current eyeGaze_left: Position (0.02452815, 1.150638, 0.2118113), Orientation(0.0742038, 0.01025533, -0.02603794, 0.9968503), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 798,current eyeGaze_left: Position (0.02448547, 1.150409, 0.2118039), Orientation(0.07330407, -0.003771993, -0.02777983, 0.9969155), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 812,current eyeGaze_left: Position (0.02448547, 1.150409, 0.2118039), Orientation(0.07330407, -0.003771993, -0.02777983, 0.9969155), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 827,current eyeGaze_left: Position (0.02449169, 1.150353, 0.2117537), Orientation(0.09904052, -0.002766932, -0.02834386, 0.9946759), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 838,current eyeGaze_left: Position (0.02449169, 1.150353, 0.2117537), Orientation(0.09904052, -0.002766932, -0.02834386, 0.9946759), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 853,current eyeGaze_left: Position (0.02449169, 1.150353, 0.2117537), Orientation(0.09904052, -0.002766932, -0.02834386, 0.9946759), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 867,current eyeGaze_left: Position (0.02450258, 1.150396, 0.2117101), Orientation(0.09985811, -0.002808308, -0.02827062, 0.9945959), Confidence: 0.5

