Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 350,current eyeGaze_left: Position (-0.04594773, 1.082153, 0.008989991), Orientation(0.13793, 0.02366096, -0.04191061, 0.989272), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 365,current eyeGaze_left: Position (-0.04579245, 1.082436, 0.009305201), Orientation(0.1395917, 0.02479728, -0.04055959, 0.9890674), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 378,current eyeGaze_left: Position (-0.04579245, 1.082436, 0.009305201), Orientation(0.1395917, 0.02479728, -0.04055959, 0.9890674), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 392,current eyeGaze_left: Position (-0.04579245, 1.082436, 0.009305201), Orientation(0.1395917, 0.02479728, -0.04055959, 0.9890674), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 406,current eyeGaze_left: Position (-0.0455454, 1.082682, 0.009677535), Orientation(0.1464972, 0.03191678, -0.03829345, 0.9879543), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 420,current eyeGaze_left: Position (-0.0455454, 1.082682, 0.009677535), Orientation(0.1464972, 0.03191678, -0.03829345, 0.9879543), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 434,current eyeGaze_left: Position (-0.04535569, 1.082792, 0.01018918), Orientation(0.1475756, 0.03223665, -0.03679847, 0.9878401), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 447,current eyeGaze_left: Position (-0.04535569, 1.082792, 0.01018918), Orientation(0.1475756, 0.03223665, -0.03679847, 0.9878401), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 462,current eyeGaze_left: Position (-0.04535569, 1.082792, 0.01018918), Orientation(0.1475756, 0.03223665, -0.03679847, 0.9878401), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 471,current eyeGaze_left: Position (-0.04525028, 1.082897, 0.01082177), Orientation(0.1488146, 0.03246762, -0.03510436, 0.9877085), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 486,current eyeGaze_left: Position (-0.04525028, 1.082897, 0.01082177), Orientation(0.1488146, 0.03246762, -0.03510436, 0.9877085), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 500,current eyeGaze_left: Position (-0.04522026, 1.083051, 0.01154925), Orientation(0.1495652, 0.03110181, -0.0327841, 0.9877187), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 513,current eyeGaze_left: Position (-0.04522026, 1.083051, 0.01154925), Orientation(0.1495652, 0.03110181, -0.0327841, 0.9877187), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 528,current eyeGaze_left: Position (-0.04522026, 1.083051, 0.01154925), Orientation(0.1495652, 0.03110181, -0.0327841, 0.9877187), Confidence: 0.5

