Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 178,current eyeGaze_left: Position (-0.01776836, 1.127193, 0.0469109), Orientation(0.05527068, -0.02948008, -0.03259305, 0.9975038), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 192,current eyeGaze_left: Position (-0.01776836, 1.127193, 0.0469109), Orientation(0.05527068, -0.02948008, -0.03259305, 0.9975038), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 206,current eyeGaze_left: Position (-0.01959638, 1.127237, 0.04677159), Orientation(0.06128291, -0.0270263, -0.03031064, 0.997294), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 219,current eyeGaze_left: Position (-0.01959638, 1.127237, 0.04677159), Orientation(0.06128291, -0.0270263, -0.03031064, 0.997294), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 233,current eyeGaze_left: Position (-0.01959638, 1.127237, 0.04677159), Orientation(0.06128291, -0.0270263, -0.03031064, 0.997294), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 247,current eyeGaze_left: Position (-0.02141555, 1.127121, 0.04675981), Orientation(0.1088179, -0.02535384, -0.02745664, 0.993359), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 261,current eyeGaze_left: Position (-0.02141555, 1.127121, 0.04675981), Orientation(0.1088179, -0.02535384, -0.02745664, 0.993359), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 275,current eyeGaze_left: Position (-0.02292581, 1.126919, 0.04687636), Orientation(0.1152504, -0.02433852, -0.02486343, 0.9927271), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 289,current eyeGaze_left: Position (-0.02292581, 1.126919, 0.04687636), Orientation(0.1152504, -0.02433852, -0.02486343, 0.9927271), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 304,current eyeGaze_left: Position (-0.02432562, 1.126547, 0.04714891), Orientation(0.1160837, -0.02511423, -0.02265755, 0.9926633), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 317,current eyeGaze_left: Position (-0.02432562, 1.126547, 0.04714891), Orientation(0.1160837, -0.02511423, -0.02265755, 0.9926633), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 331,current eyeGaze_left: Position (-0.02432562, 1.126547, 0.04714891), Orientation(0.1160837, -0.02511423, -0.02265755, 0.9926633), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 344,current eyeGaze_left: Position (-0.02557527, 1.126282, 0.04751231), Orientation(0.1160409, -0.02384096, -0.02091852, 0.9927381), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 358,current eyeGaze_left: Position (-0.02557527, 1.126282, 0.04751231), Orientation(0.1160409, -0.02384096, -0.02091852, 0.9927381), Confidence: 0.5

