
Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 262,current eyeGaze_left: Position (-0.2104742, 1.139741, 0.1652661), Orientation(-0.09339069, 0.01762539, 0.04625748, -0.9943983), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 275,current eyeGaze_left: Position (-0.2104742, 1.139741, 0.1652661), Orientation(-0.09339069, 0.01762539, 0.04625748, -0.9943983), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 291,current eyeGaze_left: Position (-0.2104742, 1.139741, 0.1652661), Orientation(-0.09339069, 0.01762539, 0.04625748, -0.9943983), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 304,current eyeGaze_left: Position (-0.2104726, 1.139716, 0.1652687), Orientation(-0.09333707, 0.01763463, 0.04626329, -0.9944029), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 317,current eyeGaze_left: Position (-0.2104726, 1.139716, 0.1652687), Orientation(-0.09333707, 0.01763463, 0.04626329, -0.9944029), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 331,current eyeGaze_left: Position (-0.210489, 1.1397, 0.1652505), Orientation(-0.09635136, 0.01745879, 0.04617778, -0.9941223), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 344,current eyeGaze_left: Position (-0.210489, 1.1397, 0.1652505), Orientation(-0.09635136, 0.01745879, 0.04617778, -0.9941223), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 361,current eyeGaze_left: Position (-0.2105076, 1.139687, 0.1652315), Orientation(-0.09760273, 0.01752962, 0.04613734, -0.9940009), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 375,current eyeGaze_left: Position (-0.2105076, 1.139687, 0.1652315), Orientation(-0.09760273, 0.01752962, 0.04613734, -0.9940009), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 389,current eyeGaze_left: Position (-0.2105076, 1.139687, 0.1652315), Orientation(-0.09760273, 0.01752962, 0.04613734, -0.9940009), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 402,current eyeGaze_left: Position (-0.2105132, 1.13967, 0.1652298), Orientation(-0.09782512, 0.01815682, 0.04619662, -0.9939651), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 414,current eyeGaze_left: Position (-0.2105132, 1.13967, 0.1652298), Orientation(-0.09782512, 0.01815682, 0.04619662, -0.9939651), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 430,current eyeGaze_left: Position (-0.2104568, 1.139667, 0.1651769), Orientation(-0.09846082, 0.01819184, 0.04620691, -0.9939011), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 442,current eyeGaze_left: Position (-0.2104568, 1.139667, 0.1651769), Orientation(-0.09846082, 0.01819184, 0.04620691, -0.9939011), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 456,current eyeGaze_left: Position (-0.2104568, 1.139667, 0.1651769), Orientation(-0.09846082, 0.01819184, 0.04620691, -0.9939011), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 470,current eyeGaze_left: Position (-0.210386, 1.139677, 0.1651294), Orientation(-0.09923098, 0.01826396, 0.04625187, -0.9938211), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 484,current eyeGaze_left: Position (-0.210386, 1.139677, 0.1651294), Orientation(-0.09923098, 0.01826396, 0.04625187, -0.9938211), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 499,current eyeGaze_left: Position (-0.2103529, 1.139667, 0.1651345), Orientation(-0.1051726, 0.01965074, 0.04629751, -0.9931812), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 512,current eyeGaze_left: Position (-0.2103529, 1.139667, 0.1651345), Orientation(-0.1051726, 0.01965074, 0.04629751, -0.9931812), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 527,current eyeGaze_left: Position (-0.2103558, 1.13964, 0.165105), Orientation(-0.1051171, 0.02059295, 0.04639718, -0.9931636), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 539,current eyeGaze_left: Position (-0.2103558, 1.13964, 0.165105), Orientation(-0.1051171, 0.02059295, 0.04639718, -0.9931636), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 554,current eyeGaze_left: Position (-0.2103558, 1.13964, 0.165105), Orientation(-0.1051171, 0.02059295, 0.04639718, -0.9931636), Confidence: 0.5

