Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 275,current eyeGaze_left: Position (-0.03915585, 0.661178, 0.02816004), Orientation(0.08534878, -0.0196855, -0.0299305, 0.9957068), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 290,current eyeGaze_left: Position (-0.03915585, 0.661178, 0.02816004), Orientation(0.08534878, -0.0196855, -0.0299305, 0.9957068), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 303,current eyeGaze_left: Position (-0.03951898, 0.6612737, 0.02839824), Orientation(0.08469113, -0.01862868, -0.02943878, 0.9957981), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 318,current eyeGaze_left: Position (-0.03951898, 0.6612737, 0.02839824), Orientation(0.08469113, -0.01862868, -0.02943878, 0.9957981), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 331,current eyeGaze_left: Position (-0.04001511, 0.6613318, 0.02861238), Orientation(0.08442858, -0.01871441, -0.02901738, 0.9958312), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 345,current eyeGaze_left: Position (-0.04001511, 0.6613318, 0.02861238), Orientation(0.08442858, -0.01871441, -0.02901738, 0.9958312), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 359,current eyeGaze_left: Position (-0.04046624, 0.6614479, 0.02905882), Orientation(0.08465353, -0.01875213, -0.02869809, 0.9958205), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 373,current eyeGaze_left: Position (-0.04046624, 0.6614479, 0.02905882), Orientation(0.08465353, -0.01875213, -0.02869809, 0.9958205), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 389,current eyeGaze_left: Position (-0.04046624, 0.6614479, 0.02905882), Orientation(0.08465353, -0.01875213, -0.02869809, 0.9958205), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 401,current eyeGaze_left: Position (-0.04088682, 0.6614797, 0.02950904), Orientation(0.08544286, -0.01818988, -0.0284882, 0.9957697), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 416,current eyeGaze_left: Position (-0.04088682, 0.6614797, 0.02950904), Orientation(0.08544286, -0.01818988, -0.0284882, 0.9957697), Confidence: 0.9980469

