Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 976,current eyeGaze_left: Position (-0.1112586, 1.005714, 0.2135398), Orientation(0.0274481, -0.02759548, 0.002580489, 0.9992389), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 990,current eyeGaze_left: Position (-0.1113941, 1.005381, 0.2132894), Orientation(0.02718166, -0.02679336, 0.002981873, 0.9992671), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 3,current eyeGaze_left: Position (-0.1113941, 1.005381, 0.2132894), Orientation(0.02718166, -0.02679336, 0.002981873, 0.9992671), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 18,current eyeGaze_left: Position (-0.1115105, 1.004969, 0.2131314), Orientation(0.0240451, -0.02720822, 0.002655916, 0.9993371), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 32,current eyeGaze_left: Position (-0.1115105, 1.004969, 0.2131314), Orientation(0.0240451, -0.02720822, 0.002655916, 0.9993371), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 47,current eyeGaze_left: Position (-0.1115691, 1.00452, 0.2130701), Orientation(-0.01333724, -0.03384188, 0.0005073873, 0.9993381), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 58,current eyeGaze_left: Position (-0.1115691, 1.00452, 0.2130701), Orientation(-0.01333724, -0.03384188, 0.0005073873, 0.9993381), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 74,current eyeGaze_left: Position (-0.1115691, 1.00452, 0.2130701), Orientation(-0.01333724, -0.03384188, 0.0005073873, 0.9993381), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 87,current eyeGaze_left: Position (-0.111609, 1.004146, 0.2129594), Orientation(-0.01485675, -0.03788577, 0.0001277691, 0.9991716), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 100,current eyeGaze_left: Position (-0.111609, 1.004146, 0.2129594), Orientation(-0.01485675, -0.03788577, 0.0001277691, 0.9991716), Confidence: 0.5

