
Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 695,current eyeGaze_left: Position (0.001090236, 1.088352, -0.005618304), Orientation(0.1206375, -0.01261592, -0.01364912, 0.9925227), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 710,current eyeGaze_left: Position (0.001090236, 1.088352, -0.005618304), Orientation(0.1206375, -0.01261592, -0.01364912, 0.9925227), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 724,current eyeGaze_left: Position (0.0009828061, 1.088297, -0.005562291), Orientation(0.1196017, -0.01099376, -0.01346933, 0.9926698), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 738,current eyeGaze_left: Position (0.0009828061, 1.088297, -0.005562291), Orientation(0.1196017, -0.01099376, -0.01346933, 0.9926698), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 752,current eyeGaze_left: Position (0.0007441379, 1.088321, -0.005556975), Orientation(0.1196136, -0.01124953, -0.01355136, 0.9926643), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 765,current eyeGaze_left: Position (0.0007441379, 1.088321, -0.005556975), Orientation(0.1196136, -0.01124953, -0.01355136, 0.9926643), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 780,current eyeGaze_left: Position (0.0003609397, 1.088388, -0.005529723), Orientation(0.1194964, -0.009991108, -0.01338353, 0.9926942), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 793,current eyeGaze_left: Position (0.0003609397, 1.088388, -0.005529723), Orientation(0.1194964, -0.009991108, -0.01338353, 0.9926942), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 808,current eyeGaze_left: Position (0.0003609397, 1.088388, -0.005529723), Orientation(0.1194964, -0.009991108, -0.01338353, 0.9926942), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 821,current eyeGaze_left: Position (-0.0002065897, 1.088491, -0.005538526), Orientation(0.1200082, -0.009571015, -0.0136004, 0.9926336), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 835,current eyeGaze_left: Position (-0.0002065897, 1.088491, -0.005538526), Orientation(0.1200082, -0.009571015, -0.0136004, 0.9926336), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 849,current eyeGaze_left: Position (-0.0008699894, 1.088488, -0.005542699), Orientation(0.1189751, -0.008953809, -0.013271, 0.9927682), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 863,current eyeGaze_left: Position (-0.0008699894, 1.088488, -0.005542699), Orientation(0.1189751, -0.008953809, -0.013271, 0.9927682), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 877,current eyeGaze_left: Position (-0.0008699894, 1.088488, -0.005542699), Orientation(0.1189751, -0.008953809, -0.013271, 0.9927682), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 890,current eyeGaze_left: Position (-0.001443848, 1.088448, -0.005614868), Orientation(0.1189648, -0.009920589, -0.01308989, 0.9927627), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 905,current eyeGaze_left: Position (-0.001443848, 1.088448, -0.005614868), Orientation(0.1189648, -0.009920589, -0.01308989, 0.9927627), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 919,current eyeGaze_left: Position (-0.001890231, 1.08843, -0.005757719), Orientation(0.1214528, -0.01624105, -0.0136496, 0.9923706), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 932,current eyeGaze_left: Position (-0.001890231, 1.08843, -0.005757719), Orientation(0.1214528, -0.01624105, -0.0136496, 0.9923706), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 947,current eyeGaze_left: Position (-0.002135832, 1.088464, -0.005966099), Orientation(0.1240668, -0.01592689, -0.01341393, 0.9920553), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 960,current eyeGaze_left: Position (-0.002135832, 1.088464, -0.005966099), Orientation(0.1240668, -0.01592689, -0.01341393, 0.9920553), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 975,current eyeGaze_left: Position (-0.002135832, 1.088464, -0.005966099), Orientation(0.1240668, -0.01592689, -0.01341393, 0.9920553), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 988,current eyeGaze_left: Position (-0.002208561, 1.088555, -0.006176816), Orientation(0.1249586, -0.01710615, -0.01320689, 0.9919266), Confidence: 0.5

Timestamp: 11/24/2024 1:59:13 PM, Millisecond: 4,current eyeGaze_left: Position (-0.002208561, 1.088555, -0.006176816), Orientation(0.1249586, -0.01710615, -0.01320689, 0.9919266), Confidence: 0.5

