Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 347,current eyeGaze_left: Position (-0.07021151, 0.7008798, 0.1357721), Orientation(0.04514305, -0.01573267, -0.008763464, 0.9988182), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 360,current eyeGaze_left: Position (-0.07021151, 0.7008798, 0.1357721), Orientation(0.04514305, -0.01573267, -0.008763464, 0.9988182), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 374,current eyeGaze_left: Position (-0.07021151, 0.7008798, 0.1357721), Orientation(0.04514305, -0.01573267, -0.008763464, 0.9988182), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 388,current eyeGaze_left: Position (-0.07023551, 0.7009896, 0.1369138), Orientation(0.04494519, -0.01562336, -0.008181051, 0.9988338), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 403,current eyeGaze_left: Position (-0.07023551, 0.7009896, 0.1369138), Orientation(0.04494519, -0.01562336, -0.008181051, 0.9988338), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 416,current eyeGaze_left: Position (-0.07035077, 0.7011021, 0.1381171), Orientation(0.04539371, -0.01458555, -0.007808977, 0.998832), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 429,current eyeGaze_left: Position (-0.07035077, 0.7011021, 0.1381171), Orientation(0.04539371, -0.01458555, -0.007808977, 0.998832), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 444,current eyeGaze_left: Position (-0.07035077, 0.7011021, 0.1381171), Orientation(0.04539371, -0.01458555, -0.007808977, 0.998832), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 458,current eyeGaze_left: Position (-0.07046504, 0.7012621, 0.1393831), Orientation(0.04650101, -0.01239599, -0.007422751, 0.9988137), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 472,current eyeGaze_left: Position (-0.07046504, 0.7012621, 0.1393831), Orientation(0.04650101, -0.01239599, -0.007422751, 0.9988137), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 486,current eyeGaze_left: Position (-0.07053185, 0.7015399, 0.1406385), Orientation(0.04688432, -0.01346864, -0.007352001, 0.9987825), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 499,current eyeGaze_left: Position (-0.07053185, 0.7015399, 0.1406385), Orientation(0.04688432, -0.01346864, -0.007352001, 0.9987825), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 514,current eyeGaze_left: Position (-0.07048827, 0.7018922, 0.1417835), Orientation(0.04719771, -0.0131354, -0.008017077, 0.998767), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 526,current eyeGaze_left: Position (-0.07048827, 0.7018922, 0.1417835), Orientation(0.04719771, -0.0131354, -0.008017077, 0.998767), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 541,current eyeGaze_left: Position (-0.07048827, 0.7018922, 0.1417835), Orientation(0.04719771, -0.0131354, -0.008017077, 0.998767), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 555,current eyeGaze_left: Position (-0.07026766, 0.7023154, 0.1430455), Orientation(0.04734425, -0.008460165, -0.008146551, 0.9988096), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 569,current eyeGaze_left: Position (-0.07026766, 0.7023154, 0.1430455), Orientation(0.04734425, -0.008460165, -0.008146551, 0.9988096), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 583,current eyeGaze_left: Position (-0.06978181, 0.7026228, 0.1443619), Orientation(0.03171762, -0.007966875, -0.008139397, 0.999432), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 596,current eyeGaze_left: Position (-0.06978181, 0.7026228, 0.1443619), Orientation(0.03171762, -0.007966875, -0.008139397, 0.999432), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 611,current eyeGaze_left: Position (-0.06909756, 0.7028377, 0.145716), Orientation(0.02975393, -0.006806838, -0.008721806, 0.9994959), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 625,current eyeGaze_left: Position (-0.06909756, 0.7028377, 0.145716), Orientation(0.02975393, -0.006806838, -0.008721806, 0.9994959), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 640,current eyeGaze_left: Position (-0.06909756, 0.7028377, 0.145716), Orientation(0.02975393, -0.006806838, -0.008721806, 0.9994959), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 652,current eyeGaze_left: Position (-0.06821674, 0.7031555, 0.1470042), Orientation(0.02990514, -0.007116778, -0.01012109, 0.9994762), Confidence: 0.9980469

