Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 139,current eyeGaze_left: Position (-0.1016664, 1.098607, 0.09010355), Orientation(0.07433253, -0.03606983, 0.005417778, 0.9965663), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 152,current eyeGaze_left: Position (-0.1016664, 1.098607, 0.09010355), Orientation(0.07433253, -0.03606983, 0.005417778, 0.9965663), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 166,current eyeGaze_left: Position (-0.1015508, 1.098419, 0.08970752), Orientation(0.07599477, -0.03603289, 0.005275268, 0.996443), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 180,current eyeGaze_left: Position (-0.1015508, 1.098419, 0.08970752), Orientation(0.07599477, -0.03603289, 0.005275268, 0.996443), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 195,current eyeGaze_left: Position (-0.1014166, 1.098148, 0.08930606), Orientation(0.07696352, -0.04046935, 0.004289993, 0.996203), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 208,current eyeGaze_left: Position (-0.1014166, 1.098148, 0.08930606), Orientation(0.07696352, -0.04046935, 0.004289993, 0.996203), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 223,current eyeGaze_left: Position (-0.1014166, 1.098148, 0.08930606), Orientation(0.07696352, -0.04046935, 0.004289993, 0.996203), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 236,current eyeGaze_left: Position (-0.1013017, 1.09774, 0.08886144), Orientation(0.07896233, -0.04045225, 0.004205449, 0.9960477), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 249,current eyeGaze_left: Position (-0.1013017, 1.09774, 0.08886144), Orientation(0.07896233, -0.04045225, 0.004205449, 0.9960477), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 265,current eyeGaze_left: Position (-0.1011712, 1.097319, 0.08840041), Orientation(0.0789673, -0.03892644, 0.004373186, 0.9961073), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 278,current eyeGaze_left: Position (-0.1011712, 1.097319, 0.08840041), Orientation(0.0789673, -0.03892644, 0.004373186, 0.9961073), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 292,current eyeGaze_left: Position (-0.1011712, 1.097319, 0.08840041), Orientation(0.0789673, -0.03892644, 0.004373186, 0.9961073), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 306,current eyeGaze_left: Position (-0.1010393, 1.096944, 0.08793412), Orientation(0.0819983, -0.03898724, 0.004334679, 0.9958602), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 319,current eyeGaze_left: Position (-0.1010393, 1.096944, 0.08793412), Orientation(0.0819983, -0.03898724, 0.004334679, 0.9958602), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 333,current eyeGaze_left: Position (-0.1009222, 1.096645, 0.08741072), Orientation(0.07990881, -0.03978871, 0.004011577, 0.9959997), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 347,current eyeGaze_left: Position (-0.1009222, 1.096645, 0.08741072), Orientation(0.07990881, -0.03978871, 0.004011577, 0.9959997), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 362,current eyeGaze_left: Position (-0.100802, 1.096407, 0.08690932), Orientation(0.08265314, -0.04069683, 0.003750787, 0.9957401), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 375,current eyeGaze_left: Position (-0.100802, 1.096407, 0.08690932), Orientation(0.08265314, -0.04069683, 0.003750787, 0.9957401), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 390,current eyeGaze_left: Position (-0.100802, 1.096407, 0.08690932), Orientation(0.08265314, -0.04069683, 0.003750787, 0.9957401), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 403,current eyeGaze_left: Position (-0.1006825, 1.096191, 0.08645076), Orientation(0.08126757, -0.04084574, 0.003695585, 0.9958481), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 417,current eyeGaze_left: Position (-0.1006825, 1.096191, 0.08645076), Orientation(0.08126757, -0.04084574, 0.003695585, 0.9958481), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 432,current eyeGaze_left: Position (-0.1006145, 1.095953, 0.08601785), Orientation(0.08587087, -0.03984386, 0.003860325, 0.9955019), Confidence: 0.5

