Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 893,current eyeGaze_left: Position (-0.02760651, 0.6941229, -0.03043652), Orientation(0.06273817, -0.002401204, -0.00659022, 0.9980055), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 907,current eyeGaze_left: Position (-0.02760651, 0.6941229, -0.03043652), Orientation(0.06273817, -0.002401204, -0.00659022, 0.9980055), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 921,current eyeGaze_left: Position (-0.02760651, 0.6941229, -0.03043652), Orientation(0.06273817, -0.002401204, -0.00659022, 0.9980055), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 935,current eyeGaze_left: Position (-0.02847413, 0.6945971, -0.0296328), Orientation(0.06516376, -0.0001479134, -0.007699656, 0.997845), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 949,current eyeGaze_left: Position (-0.02847413, 0.6945971, -0.0296328), Orientation(0.06516376, -0.0001479134, -0.007699656, 0.997845), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 962,current eyeGaze_left: Position (-0.02936943, 0.6951448, -0.02900317), Orientation(0.05908797, -0.0001701357, -0.009165897, 0.9982107), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 977,current eyeGaze_left: Position (-0.02936943, 0.6951448, -0.02900317), Orientation(0.05908797, -0.0001701357, -0.009165897, 0.9982107), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 991,current eyeGaze_left: Position (-0.03018383, 0.6956996, -0.02843144), Orientation(0.0604419, 0.0007106647, -0.01025977, 0.9981187), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 4,current eyeGaze_left: Position (-0.03018383, 0.6956996, -0.02843144), Orientation(0.0604419, 0.0007106647, -0.01025977, 0.9981187), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 19,current eyeGaze_left: Position (-0.03018383, 0.6956996, -0.02843144), Orientation(0.0604419, 0.0007106647, -0.01025977, 0.9981187), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 32,current eyeGaze_left: Position (-0.03098178, 0.6961804, -0.02793912), Orientation(0.06292838, -0.002275978, -0.01112633, 0.9979535), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 47,current eyeGaze_left: Position (-0.03098178, 0.6961804, -0.02793912), Orientation(0.06292838, -0.002275978, -0.01112633, 0.9979535), Confidence: 0.9980469

