Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 528,current eyeGaze_left: Position (0.07301508, 1.018085, 0.2676246), Orientation(0.09157415, 0.01461405, 0.01524364, 0.9955743), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 542,current eyeGaze_left: Position (0.07301508, 1.018085, 0.2676246), Orientation(0.09157415, 0.01461405, 0.01524364, 0.9955743), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 556,current eyeGaze_left: Position (0.07296588, 1.017981, 0.2675291), Orientation(0.09111822, 0.01558692, 0.01536516, 0.9955994), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 569,current eyeGaze_left: Position (0.07296588, 1.017981, 0.2675291), Orientation(0.09111822, 0.01558692, 0.01536516, 0.9955994), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 584,current eyeGaze_left: Position (0.07296588, 1.017981, 0.2675291), Orientation(0.09111822, 0.01558692, 0.01536516, 0.9955994), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 597,current eyeGaze_left: Position (0.07298827, 1.017948, 0.2674041), Orientation(0.09232078, 0.01615738, 0.01522058, 0.9954818), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 612,current eyeGaze_left: Position (0.07298827, 1.017948, 0.2674041), Orientation(0.09232078, 0.01615738, 0.01522058, 0.9954818), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 626,current eyeGaze_left: Position (0.07306737, 1.017961, 0.2672462), Orientation(0.0926755, 0.0175226, 0.01479156, 0.9954322), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 640,current eyeGaze_left: Position (0.07306737, 1.017961, 0.2672462), Orientation(0.0926755, 0.0175226, 0.01479156, 0.9954322), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 655,current eyeGaze_left: Position (0.07319464, 1.017982, 0.2671479), Orientation(0.0924783, 0.01729429, 0.01474268, 0.9954553), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 668,current eyeGaze_left: Position (0.07319464, 1.017982, 0.2671479), Orientation(0.0924783, 0.01729429, 0.01474268, 0.9954553), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 682,current eyeGaze_left: Position (0.07319464, 1.017982, 0.2671479), Orientation(0.0924783, 0.01729429, 0.01474268, 0.9954553), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 696,current eyeGaze_left: Position (0.07329629, 1.017944, 0.2671058), Orientation(0.0911369, 0.01523406, 0.01474522, 0.9956126), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 711,current eyeGaze_left: Position (0.07329629, 1.017944, 0.2671058), Orientation(0.0911369, 0.01523406, 0.01474522, 0.9956126), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 725,current eyeGaze_left: Position (0.07331572, 1.017898, 0.2671021), Orientation(0.09092257, 0.0151794, 0.01479033, 0.9956324), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 738,current eyeGaze_left: Position (0.07331572, 1.017898, 0.2671021), Orientation(0.09092257, 0.0151794, 0.01479033, 0.9956324), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 753,current eyeGaze_left: Position (0.07329497, 1.017833, 0.2671175), Orientation(0.09072156, 0.01777631, 0.01516144, 0.9956021), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 766,current eyeGaze_left: Position (0.07329497, 1.017833, 0.2671175), Orientation(0.09072156, 0.01777631, 0.01516144, 0.9956021), Confidence: 0.5
