Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 460,current eyeGaze_left: Position (0.02231073, 1.120976, 0.2130481), Orientation(0.1676972, 0.003315805, -0.03724011, 0.9851295), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 473,current eyeGaze_left: Position (0.02231073, 1.120976, 0.2130481), Orientation(0.1676972, 0.003315805, -0.03724011, 0.9851295), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 488,current eyeGaze_left: Position (0.02223, 1.120928, 0.2130901), Orientation(0.1697247, 0.002600214, -0.03687644, 0.984798), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 501,current eyeGaze_left: Position (0.02223, 1.120928, 0.2130901), Orientation(0.1697247, 0.002600214, -0.03687644, 0.984798), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 515,current eyeGaze_left: Position (0.02223, 1.120928, 0.2130901), Orientation(0.1697247, 0.002600214, -0.03687644, 0.984798), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 529,current eyeGaze_left: Position (0.02226785, 1.120736, 0.2132685), Orientation(0.1690842, 0.002619171, -0.03673194, 0.9849134), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 544,current eyeGaze_left: Position (0.02226785, 1.120736, 0.2132685), Orientation(0.1690842, 0.002619171, -0.03673194, 0.9849134), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 558,current eyeGaze_left: Position (0.02232825, 1.120511, 0.2134482), Orientation(0.1661865, 0.002686338, -0.03691227, 0.9853997), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 571,current eyeGaze_left: Position (0.02232825, 1.120511, 0.2134482), Orientation(0.1661865, 0.002686338, -0.03691227, 0.9853997), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 586,current eyeGaze_left: Position (0.02245368, 1.120361, 0.2135553), Orientation(0.1657217, 0.00512756, -0.03687809, 0.9854695), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 598,current eyeGaze_left: Position (0.02245368, 1.120361, 0.2135553), Orientation(0.1657217, 0.00512756, -0.03687809, 0.9854695), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 613,current eyeGaze_left: Position (0.02245368, 1.120361, 0.2135553), Orientation(0.1657217, 0.00512756, -0.03687809, 0.9854695), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 627,current eyeGaze_left: Position (0.02266423, 1.120319, 0.2136754), Orientation(0.1664467, 0.005042835, -0.03699162, 0.9853435), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 640,current eyeGaze_left: Position (0.02266423, 1.120319, 0.2136754), Orientation(0.1664467, 0.005042835, -0.03699162, 0.9853435), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 654,current eyeGaze_left: Position (0.02286657, 1.120278, 0.2137494), Orientation(0.1673297, 0.005151212, -0.03707314, 0.9851903), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 668,current eyeGaze_left: Position (0.02286657, 1.120278, 0.2137494), Orientation(0.1673297, 0.005151212, -0.03707314, 0.9851903), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 683,current eyeGaze_left: Position (0.02297626, 1.120258, 0.2137268), Orientation(0.167228, 0.007263205, -0.03697657, 0.9851978), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 696,current eyeGaze_left: Position (0.02297626, 1.120258, 0.2137268), Orientation(0.167228, 0.007263205, -0.03697657, 0.9851978), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 710,current eyeGaze_left: Position (0.02297626, 1.120258, 0.2137268), Orientation(0.167228, 0.007263205, -0.03697657, 0.9851978), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 725,current eyeGaze_left: Position (0.02319014, 1.120163, 0.2137535), Orientation(0.1692362, 0.007997774, -0.03718182, 0.9848415), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 738,current eyeGaze_left: Position (0.02319014, 1.120163, 0.2137535), Orientation(0.1692362, 0.007997774, -0.03718182, 0.9848415), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 752,current eyeGaze_left: Position (0.02340347, 1.120054, 0.2137029), Orientation(0.1688764, 0.007993922, -0.03747215, 0.9848922), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 766,current eyeGaze_left: Position (0.02340347, 1.120054, 0.2137029), Orientation(0.1688764, 0.007993922, -0.03747215, 0.9848922), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 781,current eyeGaze_left: Position (0.02360733, 1.119905, 0.213499), Orientation(0.1677231, 0.00593033, -0.03801693, 0.985083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 794,current eyeGaze_left: Position (0.02360733, 1.119905, 0.213499), Orientation(0.1677231, 0.00593033, -0.03801693, 0.985083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 808,current eyeGaze_left: Position (0.02360733, 1.119905, 0.213499), Orientation(0.1677231, 0.00593033, -0.03801693, 0.985083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 822,current eyeGaze_left: Position (0.02391731, 1.119822, 0.2132929), Orientation(0.1670931, 0.004699894, -0.0385486, 0.9851761), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 835,current eyeGaze_left: Position (0.02391731, 1.119822, 0.2132929), Orientation(0.1670931, 0.004699894, -0.0385486, 0.9851761), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 851,current eyeGaze_left: Position (0.02424177, 1.119784, 0.2129818), Orientation(0.1665172, 0.004430988, -0.0387118, 0.9852684), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 864,current eyeGaze_left: Position (0.02424177, 1.119784, 0.2129818), Orientation(0.1665172, 0.004430988, -0.0387118, 0.9852684), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 879,current eyeGaze_left: Position (0.02424177, 1.119784, 0.2129818), Orientation(0.1665172, 0.004430988, -0.0387118, 0.9852684), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 891,current eyeGaze_left: Position (0.02450773, 1.11974, 0.2125626), Orientation(0.1685927, 0.004479116, -0.03877296, 0.9849127), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 905,current eyeGaze_left: Position (0.02450773, 1.11974, 0.2125626), Orientation(0.1685927, 0.004479116, -0.03877296, 0.9849127), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 920,current eyeGaze_left: Position (0.02488627, 1.119612, 0.2121266), Orientation(0.1682414, 0.006836154, -0.0386207, 0.9849653), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 933,current eyeGaze_left: Position (0.02488627, 1.119612, 0.2121266), Orientation(0.1682414, 0.006836154, -0.0386207, 0.9849653), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 948,current eyeGaze_left: Position (0.02488627, 1.119612, 0.2121266), Orientation(0.1682414, 0.006836154, -0.0386207, 0.9849653), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 961,current eyeGaze_left: Position (0.02524849, 1.119411, 0.2116411), Orientation(0.1684491, 0.006919412, -0.03887601, 0.9849191), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 975,current eyeGaze_left: Position (0.02524849, 1.119411, 0.2116411), Orientation(0.1684491, 0.006919412, -0.03887601, 0.9849191), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 989,current eyeGaze_left: Position (0.02555715, 1.11913, 0.2111141), Orientation(0.1671055, 0.006569919, -0.03928395, 0.9851342), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 3,current eyeGaze_left: Position (0.02555715, 1.11913, 0.2111141), Orientation(0.1671055, 0.006569919, -0.03928395, 0.9851342), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 18,current eyeGaze_left: Position (0.02555715, 1.11913, 0.2111141), Orientation(0.1671055, 0.006569919, -0.03928395, 0.9851342), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 30,current eyeGaze_left: Position (0.0258024, 1.118879, 0.2106837), Orientation(0.1659917, 0.006393552, -0.03960014, 0.985311), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 45,current eyeGaze_left: Position (0.0258024, 1.118879, 0.2106837), Orientation(0.1659917, 0.006393552, -0.03960014, 0.985311), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 58,current eyeGaze_left: Position (0.02592115, 1.118795, 0.2102549), Orientation(0.1607118, 0.007366499, -0.03934327, 0.9861895), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 71,current eyeGaze_left: Position (0.02592115, 1.118795, 0.2102549), Orientation(0.1607118, 0.007366499, -0.03934327, 0.9861895), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 86,current eyeGaze_left: Position (0.02584171, 1.118848, 0.209825), Orientation(0.1621867, 0.007996382, -0.03889451, 0.985961), Confidence: 0.5

