Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 385,current eyeGaze_left: Position (-0.04038011, 0.6363207, 0.03513145), Orientation(0.06003659, -0.02585482, -0.02529258, 0.9975407), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 399,current eyeGaze_left: Position (-0.04038011, 0.6363207, 0.03513145), Orientation(0.06003659, -0.02585482, -0.02529258, 0.9975407), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 413,current eyeGaze_left: Position (-0.0404571, 0.6363277, 0.03519924), Orientation(0.05974853, -0.02605021, -0.02540105, 0.9975501), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 427,current eyeGaze_left: Position (-0.0404571, 0.6363277, 0.03519924), Orientation(0.05974853, -0.02605021, -0.02540105, 0.9975501), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 441,current eyeGaze_left: Position (-0.04048794, 0.6363082, 0.03524153), Orientation(0.059893, -0.02579909, -0.02537874, 0.9975486), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 455,current eyeGaze_left: Position (-0.04048794, 0.6363082, 0.03524153), Orientation(0.059893, -0.02579909, -0.02537874, 0.9975486), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 469,current eyeGaze_left: Position (-0.04048794, 0.6363082, 0.03524153), Orientation(0.059893, -0.02579909, -0.02537874, 0.9975486), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 483,current eyeGaze_left: Position (-0.04046912, 0.6362503, 0.03523173), Orientation(0.06103029, -0.02579699, -0.0253807, 0.9974796), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 497,current eyeGaze_left: Position (-0.04046912, 0.6362503, 0.03523173), Orientation(0.06103029, -0.02579699, -0.0253807, 0.9974796), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 511,current eyeGaze_left: Position (-0.04042707, 0.6362364, 0.03526635), Orientation(0.0610015, -0.02597473, -0.02537045, 0.9974771), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 524,current eyeGaze_left: Position (-0.04042707, 0.6362364, 0.03526635), Orientation(0.0610015, -0.02597473, -0.02537045, 0.9974771), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 539,current eyeGaze_left: Position (-0.04035463, 0.6362091, 0.03526344), Orientation(0.06042835, -0.02607298, -0.02520053, 0.9975137), Confidence: 0.9980469

